position	var	question	variable_type	response_id	response
1	DateReceived	Date Received	NA	NA	"NA"
2	Sample_Gender	Sample Gender	NOMINAL	NA	"NA"
3	Sample_LengthOfStay	Sample Length Of Stay	SCALE	NA	"NA"
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	1	None – I went straight to hospital
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	2	None – I went to hospital following a cancer screening appointment
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	3	I saw my GP once
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	4	I saw my GP twice
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	5	I saw my GP 3 or 4 times
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	6	I saw my GP 5 or more times
4	Q1	Before you were told you needed to go to hospital about cancer, how many times did you see your GP (family doctor) about the health problem caused by cancer?	NOMINAL	7	Don’t know / can’t remember
6	Q2	How do you feel about the length of time you had to wait before your first appointment with a hospital doctor?	NOMINAL	1	I was seen as soon as I thought was necessary
6	Q2	How do you feel about the length of time you had to wait before your first appointment with a hospital doctor?	NOMINAL	2	I should have been seen a bit sooner
6	Q2	How do you feel about the length of time you had to wait before your first appointment with a hospital doctor?	NOMINAL	3	I should have been seen a lot sooner
8	Q3	How long was it from the time you first thought something might be wrong with you until you first saw a GP or other doctor?	NOMINAL	1	Less than 3 months
8	Q3	How long was it from the time you first thought something might be wrong with you until you first saw a GP or other doctor?	NOMINAL	2	3-6 months
8	Q3	How long was it from the time you first thought something might be wrong with you until you first saw a GP or other doctor?	NOMINAL	3	6-12 months
8	Q3	How long was it from the time you first thought something might be wrong with you until you first saw a GP or other doctor?	NOMINAL	4	More than 12 months
8	Q3	How long was it from the time you first thought something might be wrong with you until you first saw a GP or other doctor?	NOMINAL	5	Don’t know / can’t remember
9	Q4	In the last 12 months, have you had a diagnostic test(s) for cancer such as an endoscopy, biopsy, mammogram, or scan at one of the hospitals named in the covering letter?	NOMINAL	1	Yes - Go to Q5
9	Q4	In the last 12 months, have you had a diagnostic test(s) for cancer such as an endoscopy, biopsy, mammogram, or scan at one of the hospitals named in the covering letter?	NOMINAL	2	No - Go to Q8
10	Q5a	Beforehand, did you have all the information you needed about your test?	NOMINAL	1	Yes
11	Q5b	Beforehand, did you have all the information you needed about your test?	NOMINAL	1	No, I would have liked more written information
12	Q5c	Beforehand, did you have all the information you needed about your test?	NOMINAL	1	No, I would have liked more verbal information
13	Q5d	Beforehand, did you have all the information you needed about your test?	NOMINAL	1	I did not need / want any information
14	Q5e	Beforehand, did you have all the information you needed about your test?	NOMINAL	1	Don’t know / can’t remember
15	Q6	Overall, how did you feel about the length of time you had to wait for your test to be done?	NOMINAL	1	It was about right verbal information
15	Q6	Overall, how did you feel about the length of time you had to wait for your test to be done?	NOMINAL	2	It was a little too long
15	Q6	Overall, how did you feel about the length of time you had to wait for your test to be done?	NOMINAL	3	It was much too long
15	Q6	Overall, how did you feel about the length of time you had to wait for your test to be done?	NOMINAL	4	Don’t know / can’t remember
17	Q7	Were the results of the test explained in a way you could understand?	NOMINAL	1	Yes, completely verbal information
17	Q7	Were the results of the test explained in a way you could understand?	NOMINAL	2	Yes, to some extent
17	Q7	Were the results of the test explained in a way you could understand?	NOMINAL	3	No, I did not understand the explanation
17	Q7	Were the results of the test explained in a way you could understand?	NOMINAL	4	I did not have an explanation but would have liked one
17	Q7	Were the results of the test explained in a way you could understand?	NOMINAL	5	I did not need an explanation
17	Q7	Were the results of the test explained in a way you could understand?	NOMINAL	6	Don’t know / can’t remember
19	Q8	When you were first told that you had cancer, had you been told you could bring a family member or friend with you?	NOMINAL	1	Yes verbal information
19	Q8	When you were first told that you had cancer, had you been told you could bring a family member or friend with you?	NOMINAL	2	No
19	Q8	When you were first told that you had cancer, had you been told you could bring a family member or friend with you?	NOMINAL	3	It was not necessary
19	Q8	When you were first told that you had cancer, had you been told you could bring a family member or friend with you?	NOMINAL	4	I was told by phone or letter
19	Q8	When you were first told that you had cancer, had you been told you could bring a family member or friend with you?	NOMINAL	5	Don’t know / can’t remember
21	Q9	How do you feel about the way you were told you had cancer?	NOMINAL	1	It was done sensitively
21	Q9	How do you feel about the way you were told you had cancer?	NOMINAL	2	It should have been done a bit more sensitively
21	Q9	How do you feel about the way you were told you had cancer?	NOMINAL	3	It should have been done a lot more sensitively
